City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Vaitape,PF,79.23,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
645,Okitipupa,NG,75.02,light rain,6.5047,4.7839,Coastal Hotel & Suites
646,Caucaia,BR,84.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
648,Martapura,ID,87.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
651,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
657,Saint-Joseph,RE,78.48,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
658,Puerto Escondido,MX,77.34,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
659,Trinidad,BO,83.73,broken clouds,-14.8333,-64.9,Hotel Piesta
673,Dwarka,IN,83.1,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
680,Soyo,AO,77.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
681,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
687,Minab,IR,81.9,clear sky,27.1467,57.0801,Bam campground
688,Victoria Point,AU,76.48,overcast clouds,-27.5833,153.3,Bay Retreat Motel
690,Wanning,CN,78.89,scattered clouds,18.8003,110.3967,Paradise Hotel
